-,DF,BD923,-,-,-,-,R,-,-,-,1.0
-,TF,BD927,-,358,358.2,11.1,-,-,-,-,1.0
-,TF,ROYAN,-,345,345.2,34.1,-,-,-,-,1.0
-,DF,BD923,-,-,-,-,R,-,-,-,1.0
-,TF,ROVFU,-,041,041.7,17.3,L,-,-,-,1.0
-,TF,CNA,-,018,018.1,32.3,-,-,-,-,1.0
-,DF,BD929,-,-,-,-,L,-,-,-,1.0
TF,BD935,-,092,092.6,6.9,L,5000(1),-,-,1.0
-,TF,OBLOC,-,092,092.7,17.7,-,-,-,-,1.0
-,DF,BD929,-,-,-,-,L,-,-,-,1.0
-,TF,VAVIX,-,176,176.8,25.2,-,-,-,-,1.0
